Assembly	scaffolds_AdapterSlidingHybrid_Q25_4nt_q25
# contigs (>= 0 bp)	214
# contigs (>= 1000 bp)	147
# contigs (>= 5000 bp)	113
# contigs (>= 10000 bp)	97
# contigs (>= 25000 bp)	59
# contigs (>= 50000 bp)	32
Total length (>= 0 bp)	4338271
Total length (>= 1000 bp)	4304801
Total length (>= 5000 bp)	4220804
Total length (>= 10000 bp)	4107860
Total length (>= 25000 bp)	3462618
Total length (>= 50000 bp)	2496628
# contigs	175
Largest contig	173819
Total length	4325757
GC (%)	65.45
N50	56417
N90	16144
auN	62606.5
L50	26
L90	81
# N's per 100 kbp	7.86
