Assembly	scaffolds_QualityTrim_Q25
# contigs (>= 0 bp)	254
# contigs (>= 1000 bp)	132
# contigs (>= 5000 bp)	97
# contigs (>= 10000 bp)	85
# contigs (>= 25000 bp)	53
# contigs (>= 50000 bp)	31
Total length (>= 0 bp)	4347132
Total length (>= 1000 bp)	4297075
Total length (>= 5000 bp)	4216358
Total length (>= 10000 bp)	4134003
Total length (>= 25000 bp)	3584959
Total length (>= 50000 bp)	2813139
# contigs	149
Largest contig	206803
Total length	4309199
GC (%)	65.39
N50	64262
N90	17217
auN	81359.7
L50	20
L90	68
# N's per 100 kbp	7.43
